Title,Authors,Keywords,Journal,Abstract
"The extended self, product valuation, and the endowment effect","Villanova, Daniel",Business and Management ;  Consumer behavior ;  Consumer goods ;  Endowment ;  Marketing ;  Social Sciences ;  Theory/Conceptual ;  Valuation,"AMS review, 2019, Vol.9 (3-4), p.357-371","Various explanations have been proposed to account for discrepancies in product valuation, pertaining particularly to the buyer-seller valuation gap called the endowment effect. Previous research has examined the roles of loss sensitivity, strategic responding, differences between buyers and sellers in information processing, self-enhancement, and psychological ownership as causes of the endowment effect. This article presents a conceptual perspective based on the theory of the extended self that integrates previously proposed mechanisms for the endowment effect. The self-extension perspective generates novel predictions about possible moderators of the endowment effect. Further, the self-extension perspective also raises questions for product valuation in general. By integrating previous research and posing new questions, the self-extension perspective provides a new base for the advancement of research on product valuation."
Frontline knowledge networks in open collaboration models for service innovations,"Ozkok, Ozlem ;  Bell, Simon J. ;  Singh, Jagdip ;  Lim, Kwanghui",Business and Management ;  Innovations ;  Knowledge ;  Marketing ;  Social Sciences ;  Taxonomy ;  Theory/Conceptual,"AMS review, 2019, Vol.9 (3-4), p.268-288","Service organizations often view customer-facing or frontline employees (FLEs) as sources of inimitable knowledge valuable for innovation. This is due to the experiential nature of service and subtle qualities of engaging customer interactions. Yet, organizations face significant challenges while leveraging the knowledge of their FLEs to develop service innovations. Drawing upon the open innovation and social network literatures, we theorize the role of FLE networks, and the degree to which these networks enable the flow of distinct content for realizing effective service innovation. Specifically, we conceptualize a taxonomy of network
domains
—connecting customer- and internal-facing employees, and resource
flows
—new knowledge and self-governance activities, to provide a framework for FLE roles in knowledge networks for service-innovation. Our taxonomy expands opportunities for theorizing the mechanisms of frontline knowledge networks in service innovation as well as identifying a “dark side” that undermines potential innovation gains if left unchecked. Future directions and implications for theory and practice are discussed."
Business model innovation: a marketing ecosystem view,"Robertson, Thomas S.",Business and Management ;  Business models ;  Ecosystems ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2017, Vol.7 (3-4), p.90-100","Innovation in marketing has focused on products and services and paid scant attention to business models. Yet there is an argument that business model innovation can sometimes have greater long run success than product innovation and that it is harder for competitors to emulate. In this review we examine the extant literature on business model innovation—primarily in adjacent academic fields—and suggest that marketing variables and methods play an essential role in conceptualizing the field. In order to stimulate further thinking in marketing, we propose an ecosystem of business model innovation and offer a set of research questions."
Disruptive marketing strategy,"Hult, G. Tomas M. ;  Ketchen, David J.",Business and Management ;  Commentary ;  Market orientation ;  Market strategy ;  Marketing ;  Social Sciences ;  Value creation,"AMS review, 2017, Vol.7 (1-2), p.20-25","Disruptive marketing strategy is a process by which valuable marketing activities take root initially in applications within a department or function in an organization and then relentlessly move across a company’s internal departments/functions, eventually connecting with external companies to ensure that market-based value creation is delivered to the company’s primary stakeholders. Understanding market-based value creation in the field of marketing has centered, to a large degree, on market orientation studies via field-based, discovery-oriented research. In some ways, market orientation – while viewed as the implementation of the marketing concept – became a disruptive marketing strategy for many organizations. That is, marketing started to permeate all aspects of an organization, and even became a boundary-spanning phenomenon connecting multiple companies. The activities in marketing moved beyond their traditional home department and the marketing function became cross-departmental and even, in some cases, cross-company focused. Where do we go next? Disruptive marketing strategy will help the field and practice of marketing evolve."
"Market orientation: reflections on field-based, discovery-oriented research","Carpenter, Gregory S.",Business and Management ;  Commentary ;  Market orientation ;  Marketing ;  Social Sciences,"AMS review, 2017, Vol.7 (1-2), p.13-19","For years, market orientation remained an appealing concept that was, in practice, less favored than other approaches to management. A surge of research on market orientation helped clarify the concept and provide needed logical structure, creating a foundation for the further research and for adoption in practice. Among the most influential papers in that surge is Kohli and Jaworski (
Journal of Marketing, 54,
1–18,
1990
). In this paper, we comment on Jaworski and Kohli’s essay, exploring the process for field-based, discovery-oriented research, drawing comparisons with experimental, analytical or empirical approaches. We explore how one formulates and poses questions differently, the process of choosing collaborators, differences in the data collection, analysis, and differences in crafting papers. Illustrating these differences with Kohli and Jaworksi (
Journal of Marketing, 54,
1–18,
1990
), we explore more recent advances in market orientation and propose directions for future work."
Market orientation − firm performance link in a dynamic environment: looking inside the black box,"Sett, Rahul Kumar",Business and Management ;  Market orientation ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2018, Vol.8 (3-4), p.163-179","Our understanding of how market orientation can sustain superior firm performance in a rapidly changing environment is still evolving. This paper presents a model that explains the phenomenon by viewing market orientation as a firm-level dynamic capability that comprises three component capacities: to
sense
opportunities and threats; to
seize
opportunities and/or guard against threats; and to
reconfigure
firm resources in sync with environmental changes. These three capacities represent the three dimensions of market orientation. The nature of these capacities and the organizational processes that undergird them are explicated. It is argued that the capacities of sensing, seizing, and resource reconfiguration can help a market oriented firm to advantageously exploit environmental uncertainties and thereby sustain superior performance. Direction of future research and managerial implications are discussed."
Marketing’s forthcoming Age of imagination,"Zaltman, Gerald",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2016, Vol.6 (3-4), p.99-115","Imagination is essential to marketing scholarship and practice. However, it is neither well understood nor sufficiently used. This paper encourages giving more attention to imagination by highlighting issues meriting further understanding. Readers are encouraged to ask questions such as: Why is imagination important? What job does it perform? Are people inherently imaginative? What forces enhance and dampen imagination? What do you have when you have an imaginative thought? Some initial observations regarding these and related issues are provided to stimulate the reader’s thinking."
"Firm authenticity: the construct, research propositions, and managerial implications","Tajdini, Saeed ;  Ramirez, Edward",Authenticity ;  Business and Management ;  Marketing ;  Social responsibility ;  Social Sciences ;  Stakeholders ;  Strategic management ;  Theory ;  Theory/Conceptual,"AMS review, 2019, Vol.9 (3-4), p.324-338","Firm authenticity is conceptualized as a dual-component hierarchical model, suggesting that authenticity is manifested at different organizational (employee, leadership, and strategic management) levels, as well as in the organization’s marketplace presence (products, brands, and corporate identity). Firm authenticity is distinguished from trustworthiness, corporate social responsibility, and market orientation, providing insight into the strategy’s theoretical boundaries. Drawing on signaling and stakeholder theories, a mediated conceptual model capturing a series of research propositions is advanced. Signaling theory suggests that signaling authenticity can be effective, and stakeholder theory proposes that firm authenticity appeals to all stakeholders, resulting in increased shareholder value and potentially shielding the firm from negative consumer reactions, whereas signaling theory proposes that it positively influences consumer related outcome variables (loyalty and purchase intentions). Managers are encouraged to integrate authenticity into their organizations, while research extensions that operationalize the construct and test its nomological validity, using latent variable modeling, secondary data analysis, or a combination thereof are recommended."
Moving forward,"Vargo, Stephen L.",Business and Management ;  Editorial ;  Marketing ;  Social Sciences,"AMS review, 2019, Vol.9 (3-4), p.133-135",
Moving forward,"Vargo, Stephen L",,"AMS review, 2019, Vol.9 (3), p.133-135",
A MAP for effective advertising: the metaphoric advertising processing model,"Dehay, Eliza K. ;  Landwehr, Jan R.",Advertising ;  Business and Management ;  Marketing ;  Metaphor ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2019, Vol.9 (3-4), p.289-303","Metaphors can trigger attention and surprise, elicit positive feelings when the non-obvious metaphoric meaning is deciphered, and accelerate the understanding of complex or abstract information due to figurative metaphoric associations. Hence, metaphors can satisfy important requirements of marketing communications. Accordingly, in recent decades, an increasing amount of marketing research has examined this concept. The present article provides an overview of this research on metaphors in the advertising literature, outlines the importance of metaphoric advertising for achieving key marketing aims, and identifies crucial research gaps in the current literature. Based on this overview, we integrate theoretical ideas and empirical findings from marketing and (consumer) psychology to develop the Metaphoric Advertising Processing Model (MAP), which offers new insights into the definition, processing, comprehension, and outcomes of metaphoric advertising. We conclude with concrete suggestions and recommendations for future research and describe the practical implications of the model."
Beyond the expected benefits: unpacking value co-creation in crowdsourcing business models,"Fedorenko, Ivan ;  Berthon, Pierre",Business and Management ;  Business models ;  Crowdsourcing ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2017, Vol.7 (3-4), p.183-194","This paper explores how value is co-created in crowdsourcing business models. We envision crowd contributors as a special kind of non-consumer multi-role stakeholder. Our model suggests that the value they derive from monetary rewards and other expected benefits of participation is mediated by experiential value and identity value. The latter is driven by contributors’ identification with a crowdsourcing platform as a virtual ‘space’ for co-creation, and by the peer identification with other contributors. Both experiential and identity value creation are positively impacted by perceived control, which reflects contributors’ perception of co-creation governance and fosters identification."
Knowledge management capabilities of lead firms in innovation ecosystems,"Velu, Chander",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2015, Vol.5 (3-4), p.123-141","Knowledge management is a key capability for innovation. Prior research has typically conceptualized and examined knowledge management capabilities as a property of an individual firm or business unit. More recently, however, the locus of competition and innovation has started to shift from the individual firm to firms working together as an ecosystem. In light of these changing realities, we explicate a set of capabilities that are built, maintained, and exercised by the lead firm in order to enhance innovation within ecosystems. We highlight three knowledge management capabilities: (1) knowledge acquisition, (2) knowledge sharing, and (3) knowledge utilization. Drawing on open and closed action strategies firms use to foster team-based innovation, we develop propositions for the knowledge management capabilities of the lead firm. Our approach highlights three salient tensions that arise from team based innovation: autonomy–control, dissent–consent and uncertainty–certainty. We highlight how the three tensions need to be managed across knowledge management capabilities in order to increase the rate of innovation of the ecosystem. In doing so, we contribute to the evolving marketing literature on sensing and responding in ecosystems in order to provide customers with superior value. We discuss the implications for both managers and theory."
"Proposal, project, practice, pause: Developing a framework for evaluating smart domestic product engagement","Woodall, Tony ;  Rosborough, Julie ;  Harvey, John",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2018, Vol.8 (1-2), p.58-74","Smart homes are fast becoming a reality, with smart TVs, smart meters and other such “smart” devices/systems already representing a substantial household presence. These, which we collectively term “smart domestic products” (SDPs), will need to be promoted, adopted, and normalized into daily routines. Despite this, the marketing canon lacks a substantive discourse on pertinent research. We look to help correct this by melding ideas from organizational sociology, innovation diffusion and appropriation studies, and service dominant logic. Consequently, we suggest a framework for research that responds directly to the specific characteristics of SDPs. Using the SDP eco-system as a context, our framework emphasizes the interplay of embeddedness, practice, value and engagement. It comprises a four-stage horizontal/longitudinal axis we describe as proposal, project, practice and pause. Cross-sectionally we focus on value, and combine aspects of existing thought to suggest how this impacts each stage of our engagement continuum. We subsequently identify perceived personal advantage as the resultant of these two axes and propose this as the key for understanding consumer and SDP sociomaterial engagement. This article also advances a definition of SDPs and ends with an agenda for further research."
Why broadened marketing has enriched marketing,"Kotler, Philip",Business and Management ;  Commentary ;  Marketing ;  Nonprofit organizations ;  Social Sciences,"AMS review, 2018, Vol.8 (1-2), p.20-22","The marketing discipline, which emerged in the early 1900s, spent its first 70 years focused on describing and evaluating how for-profit organizations conduct their commercial operations with products and services. Starting in the 1970s, marketing scholars – Philip Kotler, Sidney Levy, Gerald Zaltman, and Richard Bagozzi – wrote a series of articles showing that marketing activities go on in the non-profit sector as well. They proposed that the marketing discipline would be enriched by working with the “marketing” problems of non-profit and public organizations--not just the marketing problems of commercial organizations. This subsequently came to be known as the “broadening of marketing.” A few years later, some marketers challenged the broadening idea as not belonging in the discipline of marketing. The broadening scholars suggested carrying out a referendum with marketing professors. The subsequent vote proved to be overwhelmingly in favor of the broadening movement. More recently, Adel El-Ansary and co-authors (El-Ansary et al.
AMS Review,
2018
) raised the question of whether the broadening work is part of a larger paradigm that might lead to a general theory of marketing."
A framework for studying the impact of outdoor atmospherics in retailing,"Bloch, Peter H. ;  Kamran-Disfani, Omid",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2018, Vol.8 (3-4), p.195-213","The design of retail stores and shopping environments is critical to attracting customers and maintaining profitability. Over the years, research on retail design and atmospherics has been almost completely focused on store interiors. This research shortfall is unfortunate given the increasing focus of savvy retail managers on brand building and the creation of sustainable competitive advantage through exterior store architecture, outdoor lifestyle centers, and urban shopping districts. In order to stimulate research in this important, yet under-researched topic area, we synthesize literature from a number of domains and provide a conceptual framework that examines the impact of outdoor atmospherics on shoppers’ psychological and behavioral responses. After presentation of this framework, we discuss implications for practice and potential avenues for future research."
Introducing the Theory + Practice section,"Jaworski, Bernard J.",Business and Management ;  Editorial ;  Marketing ;  Social Sciences,"AMS review, 2018, Vol.8 (1-2), p.1-4",
Disadoption,"Lehmann, Donald R. ;  Parker, Jeffrey R.",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2017, Vol.7 (1-2), p.36-51","The adoption and diffusion of new products and behaviors has been studied extensively and comprehensively (e.g., Rogers
2003
). Disadoption—how and why people volitionally stop using products and/or cease certain behaviors (e.g., customer defection, smoking cessation)—by contrast, has received less and more situation-specific attention. This paper presents a general (conceptual) framework for understanding disadoption. Disadoption is defined and delineated from other behavioral discontinuances. Antecedents and consequences of disadoption along with the process behind disadoption are discussed. Directions for research as well as methods to either increase or decrease the likelihood of disadoption are also discussed."
Consumer cooperatives: uncovering the value potential of customer ownership,"Talonen, Antti ;  Jussila, Iiro ;  Saarijärvi, Hannu ;  Rintamäki, Timo",Business and Management ;  Direct selling ;  Loyalty ;  Market strategy ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2016, Vol.6 (3-4), p.142-156","The consumer cooperative enterprise is becoming an increasingly noteworthy company form. Various forms of sharing economy and recent initiatives in collaborative consumption further amplify the relevance of a company form wherein the members have a dual role, acting both as owners and as customers. Today, cooperatives that are based on customer ownership can be found in banking, insurance, and retailing, where they account for about a trillion US dollars in annual revenue. Notwithstanding the relevance of cooperatives and their unique characteristics, which are partly contradictory within the framework of investor-owned firms, this company form and customer ownership itself have remained under-explored in consumer marketing research. Customer ownership may hold major implications for how customers ultimately perceive value, which, in turn, influences the very foundations for companies’ competitiveness: customer satisfaction, repurchase intention, and recommendation. Consequently, the purpose of this conceptual study is to uncover the value potential of customer ownership. As a result, a conceptual framework that addresses the value potential of customer ownership is proposed. In addition, the work identifies what kind of value customers can perceive through customer ownership and how that value can be defined and created in consumer cooperatives. The paper concludes with a discussion of both theoretical and managerial implications emerging from the value potential of customer ownership."
Reflections on the Journey to be Customer-Oriented and Solutions-Led,"Jaworski, Bernard J.",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2018, Vol.8 (1-2), p.75-79",
Three systems underpinning marketing behavior,"Bagozzi, Richard P.",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2018, Vol.8 (1-2), p.23-29","The new marketing systems paradigm proposed by El-Ansary, Shaw, and Lazer in their thoughtful AMS Review Article is taken to heart herein by reframing disparate pieces of scholarship and emerging research in the field through a systems lens. Three systems are proposed to undergird marketing theories, thought, and behavior: (1) a purposive-driven, goal-directed behavior systems point of view that the actors contemplating, entering, engaging, and resolving marketing exchanges undergo, (2) biological systems (neuroscience, endocrinological, and genetic) grounding marketing exchanges, and (3) cooperative and competitive systems in which goal-directed behavior and biological systems are realized in an integrative way. It is straining, however, to characterize the state of the field as constituting an identity crisis in my opinion, because the majority of marketing scholars, practitioners, and students do not appear to be concerned with or even aware of such a crisis in that the history of marketing thought does not interest them. Perhaps once the field moves from descriptive frameworks to testable theories, and experiences an integration of ideas potentially building towards more comprehensive theories in marketing, we will see hope for a general theory of marketing."
Advancing relationship marketing theory: exploring customer relationships through a process-centric framework,"Hütten, Antje S. J. ;  Salge, Torsten Oliver ;  Niemand, Thomas ;  Siems, Florian U.",Business and Management ;  Dialectics ;  Market strategy ;  Marketing ;  Relationship marketing ;  Social Sciences ;  Teleology ;  Theory ;  Theory/Conceptual,"AMS review, 2018, Vol.8 (1-2), p.39-57","Relationship marketing is commonly defined as a process. Its essential process dimension, however, remains surprisingly under-theorized. In this conceptual paper, we address this theoretical void and begin to develop a process-centric framework to explore company-customer relationships. This framework distinguishes four ideal-typical models of the relationship marketing process: (1) life-cycle, (2) evolutionary, (3) teleological and (4) dialectical process models. Our review of the relationship marketing literature reveals the prevalence of life-cycle conceptions of the relationship marketing process, followed by teleological and evolutionary conceptions. It is against this backdrop that we illustrate the value of dialectical process models as a first promising opportunity to advance relationship marketing theory. The second opportunity we showcase consists in combining two (or more) of these process models. We end with guidelines on how to identify suitable combinations of commensurable process models to systematize the multifaceted opportunities for advancing theory in relationship marketing and beyond."
"Strategic marketing, sustainability, the triple bottom line, and resource-advantage (R-A) theory: Securing the foundations of strategic marketing theory and research","Hunt, Shelby D.",Business and Management ;  Market strategy ;  Marketing ;  Social responsibility ;  Social Sciences ;  Theory ;  Theory/Conceptual,"AMS review, 2017, Vol.7 (1-2), p.52-66","Addressing strategic marketing's identity problem, several highly complementary works have clarified the field's theoretical foundations, nature, and scope by (1) specifying its domain, (2) defining its central concept, ""marketing strategy,"" (3) proposing the field's foundational premises, and (4) positing its fundamental explananda. Furthermore, the works have shown how resource-advantage (R-A) theory (5) grounds major theories of marketing strategy, (6) illuminates, informs, extends, and grounds the field's foundational premises, (7) identifies three fundamental strategies (""superior value,"" ""lower cost,"" and ""synchronal""), and (8) explains how the three fundamental strategies promote societal welfare. However, a major unresolved issue concerns the second fundamental explanandum of strategic marketing. Specifically, Varadarajan (AMS Review, 5, 78-90, 2015) expands his second fundamental explanandum from ""marketplace and financial performance"" to explaining triple bottom line (TBL) performance. That is, strategic marketing theory and research should answer: ""What explains differences in [social, environmental, and financial] performance of competing brands/product lines/businesses?"" This article provides a background discussion on how ""sustainability"" and the TBL relate to marketing in general and strategic marketing, in particular. Next, it (1) examines the nature of the TBL, (2) shows how the TBL concept and certain issues regarding its measurement parallel those in the ""corporate social responsibility"" literature, (3) re-examines the value of the TBL framework, (4) makes clear how R-A theory accommodates the TBL, and (5) shows how R-A theory provides seven potential explanations of differences in firms' TBL performance."
The self-concept life cycle and brand perceptions: An interdisciplinary perspective,"Gonzalez-Jimenez, Hector",Business and Management ;  Interdisciplinary aspects ;  Marketing ;  Self esteem ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2017, Vol.7 (1-2), p.67-84","Consumer research has paid scant attention to the full spectrum of a consumer’s self-concept life cycle and its subsequent impact on brand attitude. This article presents a conceptual framework that provides the foundation for future research on how the self-concept, across its full life cycle, impacts brand attitude. The article considers the development of the self-concept from childhood to late adulthood, and integrates findings from various disciplines into a comprehensive framework. The factors in the framework affecting the self-concept are global culture, life events, as well as cognitive and desired age. The article offers six propositions to guide future research and encourage more interdisciplinary work, as well as guiding the application of a broader perspective in terms of the self-concept’s full life-span. Moreover, the article also presents methodological and managerial implications on how to use branding approaches that target specific consumer segments according to their self-concepts’ life cycle."
Combining big data and lean startup methods for business model evolution,"Seggie, Steven H. ;  Soyer, Emre ;  Pauwels, Koen H.",Big Data ;  Business and Management ;  Business models ;  Marketing ;  Social Sciences ;  Startups ;  Theory/Conceptual,"AMS review, 2017, Vol.7 (3-4), p.154-169","The continued survival of firms depends on successful innovation. Yet, legacy firms are struggling to adapt their business models to successfully innovate in the face of greater competition from both local and global startups. The authors propose that firms should build on the lean startup methodology to help adapt their business models while at the same time leveraging the resource advantages that they have as legacy corporations. This paper provides an integrated process for corporate innovation learning through combining the lean startup methodology with big data. By themselves, the volume, variety and velocity of big data may trigger confirmation bias, communication problems and illusions of control. However, the lean startup methodology has the potential to alleviate these complications. Specifically, firms should evolve their business models through fast verification of managerial hypotheses, innovation accounting and the build-measure-learn-loop cycle. Such advice is especially valid for environments with high levels of technological and demand uncertainty."
The MIMIC model and formative variables: problems and solutions,"Lee, Nick ;  Cadogan, John W. ;  Chamberlain, Laura",Business and Management ;  Marketing ;  Social Sciences,"AMS review, 2013, Vol.3 (1), p.3-17","The use of the multiple indicators, multiple causes model to operationalize formative variables (the formative MIMIC model) is advocated in the methodological literature. Yet, contrary to popular belief, the formative MIMIC model does not provide a valid method of integrating formative variables into empirical studies and we recommend discarding it from formative models. Our arguments rest on the following observations. First, much formative variable literature appears to conceptualize a causal structure between the formative variable and its indicators which can be tested or estimated. We demonstrate that this assumption is illogical, that a formative variable is simply a researcher-defined composite of sub-dimensions, and that such tests and estimates are unnecessary. Second, despite this, researchers often use the formative MIMIC model as a means to include formative variables in their models and to estimate the magnitude of linkages between formative variables and their indicators. However, the formative MIMIC model cannot provide this information since it is simply a model in which a common factor is predicted by some exogenous variables—the model does not integrate within it a formative variable. Empirical results from such studies need reassessing, since their interpretation may lead to inaccurate theoretical insights and the development of untested recommendations to managers. Finally, the use of the formative MIMIC model can foster fuzzy conceptualizations of variables, particularly since it can erroneously encourage the view that a single focal variable is measured with formative and reflective indicators. We explain these interlinked arguments in more detail and provide a set of recommendations for researchers to consider when dealing with formative variables."
Enhancing theory development in marketing,"Yadav, Manjit S.",Business and Management ;  Marketing ;  Social Sciences,"AMS review, 2014, Vol.4 (1-2), p.1-4",
Branding in the digital era: new directions for research on customer-based brand equity,"Swaminathan, Vanitha",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2016, Vol.6 (1-2), p.33-38","The paper “Conceptualizing, Measuring and Managing Customer-Based Brand Equity” in the Journal of Marketing by Keller (
Journal of Marketing
,
57
(1), 1-22,
1993
) on conceptualizing brand equity is path-breaking, and provided a much-needed organizing framework for the brand management topic. It is indeed an honor to be asked to provide a commentary on “Reflections on Customer-Based Brand Equity: Perspectives, Progress, and Priorities”. I articulate two separate ideas in writing this commentary: (1) Providing a critique of the framework described in Keller (
Journal of Marketing
,
57
(1), 1-22,
1993
); (2) Identifying promising new directions that can extend the framework and building on some of the suggestions provided in Keller (
Academy of Marketing Science
, 6 (1-2),
2016
)."
A marketing identity is flourishing,"Levy, Sidney J.",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2018, Vol.8 (1-2), p.18-19","This commentary reports my view of the paper by El-Ansary, Shaw, and Lazer (
2018
). I take issue with two main aspects of the paper: (1) I doubt that there is a crisis in the identity of the marketing field, and (2) I doubt that paradigm four, which they propose, will supplant the current ruling paradigm. I explain these disagreements by giving my version of the historical developments and by describing the current situation that I believe will survive their contribution and claims."
The transition from products to connected health,"Jaworski, Bernard J. ;  Farrell, Michael (Mick)",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2018, Vol.8 (3-4), p.228-232",
Consumer empowerment in consumer–firm relationships: conceptual framework and implications for research,"Akhavannasab, Sanam ;  Dantas, Danilo C. ;  Senecal, Sylvain",Business and Management ;  Consumers ;  Empowerment ;  Marketing ;  Perceptions ;  Power ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2018, Vol.8 (3-4), p.214-227","This article contributes to the literature on consumer power in consumer-firm relationships in three ways. First, it proposes a consumer empowerment framework adopting a consumer perspective that includes the antecedents and consequences of consumer power perception. Second, it distinguishes two manifestations of consumer power perception: personal power—the perceived ability to resist or ignore a firm’s persuasive efforts and make final decisions independently—and social power—the perception of influencing a firm’s decisions and responses. Third, it identifies the entities involved (i.e., firms, third parties, and other consumers) that empower consumers through the exchange of resources. Moreover, this article discusses how the constructs of consumer power and empowerment differ from related concepts such as perceived control and self-efficacy. Finally, it proposes a research agenda."
Constructing a theoretical framework for the process of innovation legitimation,"Thyroff, Anastasia ;  Siemens, Jennifer Christie ;  Murray, Jeff B.",Business and Management ;  Marketing ;  Nanotechnology ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2018, Vol.8 (3-4), p.180-194","The purpose of this research is to provide a framework for studying the key stakeholders who play a role in the process legitimation of an innovation. Specifically, we combine Foucault’s discourse on power, Latour’s Actor Network Theory and Goffman’s frame analysis to present a theoretical framework for the process of innovation legitimation (PIL). To demonstrate its usefulness, we apply the PIL framework to the context of nanotechnology. We ultimately determine that there are four key stakeholders trying to frame nanotechnology: 1) Advancement (i.e., government), 2) Management (i.e., industry), 3) Development (i.e., academia), and 4) Reflection (i.e., NGOs). The trajectory of market formation and legitimation for nanotechnology will depend largely on the cultural discourses that are disseminated by these four actors and the way other peripheral actors interpret the dominant frames. By conceptualizing the current frames for an innovation in the process of legitimizing, the future of each key discourse can be envisioned."
Marketing’s identity crisis: it’s complicated,"Ferrell, O. C.",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2018, Vol.8 (1-2), p.30-38","El-Ansary et al. (
AMS Review.
https://doi.org/10.1007/s13162-017-0102-y
, 2017) provide a 100-year historical review of the concepts and paradigms that have led to an identity crisis in marketing. This commentary is a retrospective review, contributing to the understanding of the evolution of concepts and changes in the marketing discipline which have precipitated this identity crisis. In addition, progress in the development of marketing theory is examined to determine if there are major theories or frameworks that can assist in resolving the identity crisis. Concerns about the current narrow focus on consumer behavior, modeling, and methodological sophistication have resulted from the failure of the marketing discipline to determine appropriate research agenda and topics important in marketing education. A marketing systems paradigm is considered for resolving this identity crisis in academia and industry."
"The theoretical foundations of strategic marketing and marketing strategy: foundational premises, R-A theory, three fundamental strategies, and societal welfare","Hunt, Shelby D.",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2015, Vol.5 (3-4), p.61-77","The strategic marketing field of study has long suffered from an identity problem: the field has lacked clarity and consensus as to its theoretical foundations, its nature, and its scope. There have been two recent approaches that contribute to resolving the identity problem. First, Varadarajan’s (
Journal of the Academy of Marketing Science
,
38
, 119–140,
2010
) approach focuses on strategic marketing's (1) domain, (2) definition, (3) fundamental issues, and (4) foundational premises. Second, resource-advantage (R-A) theory's approach focuses on how R-A theory provides a theoretical grounding for eight forms of business and marketing strategy. This article evaluates how the two approaches relate to each other and shows how R-A theory (1) grounds extant business and marketing theories of strategy, (2) illuminates, informs, extends, and grounds the sixteen foundational premises of the strategic marketing field that Varadarajan (
2010
) proposes, (3) implies that there are three fundamental strategies, “superior value”, “lower cost”, and “synchronal”, and (4) shows how the three fundamental strategies promote societal welfare. Therefore, the two approaches, when considered jointly, complement each other and foster the development of the field of strategic marketing and the forms of marketing strategy."
"Two minds, three ways: dual system and dual process models in consumer psychology","Samson, Alain ;  Voyer, Benjamin G.",Business and Management ;  Marketing ;  Social Sciences,"AMS review, 2012, Vol.2 (2-4), p.48-71","Dual system and dual process views of the human mind have contrasted automatic, fast, and non-conscious with controlled, slow, and conscious thinking. This paper integrates duality models from the perspective of consumer psychology by identifying three relevant theoretical strands: Persuasion and attitude change (e.g. Elaboration Likelihood Model), judgment and decision making (e.g. Intuitive vs. Reflective Model), as well as buying and consumption behavior (e.g. Reflective-Impulsive Model). Covering different aspects of consumer decision making, we discuss the conditions under which different types of processes are evoked, how they interact and how they apply to consumers’ processing of marketing messages, the evaluation of product-related information, and purchasing behavior. We further compare and contrast theoretical strands and incorporate them with the literature on attitudes, showing how duality models can help us understand implicit and explicit attitude formation in consumer psychology. Finally, we offer future research implications for scholars in consumer psychology and marketing."
The transition from products to connected health: observations and avenues for future research,"Pitt, Leyland ;  Lord Ferguson, Sarah ;  Berthon, Pierre",Business and Management ;  Commentary ;  Corporate culture ;  Marketing ;  Social Sciences ;  Strategic management,"AMS review, 2018, Vol.8 (3-4), p.233-239","The transition of ResMed, the world’s leading manufacturer of therapies and devices for Obstructive Sleep Apnea, from a goods producer to an information-intensive firm presents a compelling opportunity for marketing scholars to revisit fundamental issues in strategic marketing’s theoretical past. These issues are still vitally relevant today and spark a host of interesting and important research opportunities for marketing scholars to pursue. In this commentary, we identify three important transformations undertaken by ResMed’s strategic leadership, which have strong ties to classical marketing theories and scholarship. First, ResMed moves from being a goods manufacturer to an information-intensive firm. This raises questions about the value of information that should intrigue marketing researchers. Second, the firm redefines its business, and does this not just once, but as is apparent from the case, on a dynamic basis. There are many avenues for marketing scholars of today to return to and explore in this regard. Third, ResMed makes substantial shifts in organizational culture, and also changes its structure as the result of its transformed strategy. While culture has been reasonably well considered in the marketing literature, the strategy-structure debate has mostly been conceded to strategic management scholars. There are still very fruitful research issues for marketing academics to explore in this regard."
Disciplinary memory and theory development,"Yadav, Manjit S.",Business and Management ;  Editorial ;  Marketing ;  Social Sciences,"AMS review, 2017, Vol.7 (1-2), p.1-3",
